Disease,Symptoms,Gender,Age,Medicine
Optic Nerve Atrophy,"Vision loss, pale optic disc",Gender Neutral,Any age,Treat underlying cause
Onychocryptosis (Ingrown Toenail),"Pain, redness around toenail",Gender Neutral,Teens to adults,"Soaking, antibiotics"
Osteitis Deformans (Paget's Disease),"Bone pain, deformities",More common in males,50+ years,Bisphosphonates
Oral Squamous Cell Carcinoma,Mouth ulcer that doesn't heal,More common in males,50+ years,"Surgery, radiation"
Ocular Trauma,"Eye pain, vision changes",More common in males,Any age,Emergency eye care
Osteochondropathy,"Bone/joint pain (e.g., Legg-Calvé-Perthes)",Varies by type,Childhood,"Rest, physical therapy"
Oculocutaneous Albinism,"Very light skin/hair, vision problems",Gender Neutral,Congenital,Sun protection
Overactive Bladder,"Urgency, frequent urination",More common in females,40+ years,Anticholinergics (oxybutynin)
Osteitis Pubis,"Groin pain, tenderness",More common in males,20-50 years,"Rest, NSAIDs"
Oral Submucous Fibrosis,"Mouth stiffness, burning sensation",More common in males,20-40 years,Steroid injections
Ocular Ischemic Syndrome,"Vision loss, eye pain (carotid artery disease)",More common in males,50+ years,Carotid revascularization
Osteochondrodysplasia,"Short stature, skeletal abnormalities",Gender Neutral,Congenital,Supportive care
Opioid Withdrawal,"Anxiety, sweating, diarrhea",Gender Neutral,Any age,"Clonidine, buprenorphine"
Ocular Toxoplasmosis,"Blurred vision, floaters",Gender Neutral,Any age,Pyrimethamine + sulfadiazine
Osteoid Osteoma,Nighttime bone pain relieved by NSAIDs,More common in males,10-25 years,Radiofrequency ablation
Pneumonia,"Fever, cough, difficulty breathing, chest pain",Gender Neutral,Any age (severe in elderly & infants),"Antibiotics (azithromycin), antivirals"
Psoriasis,"Red, scaly skin patches, itching",Gender Neutral,15-35 years,"Topical steroids, biologics"
Parkinson's Disease,"Tremors, stiffness, slow movement",More common in males,60+ years,"Levodopa, dopamine agonists"
Peptic Ulcer,"Burning stomach pain, bloating",More common in males,30-60 years,"PPIs (omeprazole), antibiotics (H. pylori)"
Polycystic Ovary Syndrome (PCOS),"Irregular periods, acne, excess hair growth",Female,15-45 years,"Birth control pills, metformin"
Prostate Cancer,"Urinary problems, bone pain (late stage)",Male,50+ years,"Surgery, hormone therapy"
Pancreatitis,"Severe upper abdominal pain, nausea",More common in males,30-60 years,"IV fluids, pain meds"
Premenstrual Syndrome (PMS),"Mood swings, bloating, breast tenderness",Female,20-40 years,"NSAIDs, birth control pills"
Peripheral Neuropathy,Numbness/tingling in hands/feet,Gender Neutral,50+ years,"Gabapentin, duloxetine"
Preeclampsia,"High BP, protein in urine (pregnancy)",Female,Pregnant women,"Delivery of baby, magnesium sulfate"
Pharyngitis (Strep Throat),"Sore throat, fever, swollen tonsils",Gender Neutral,5-15 years,"Penicillin, amoxicillin"
Pink Eye (Conjunctivitis),"Redness, itching, eye discharge",Gender Neutral,Any age,Antibiotic drops (if bacterial)
Pelvic Inflammatory Disease (PID),"Pelvic pain, fever, abnormal discharge",Female,15-30 years,Antibiotics (ceftriaxone + doxycycline)
Paget's Disease of Bone,"Bone pain, deformities, fractures",More common in males,50+ years,Bisphosphonates
Post-Traumatic Stress Disorder (PTSD),"Flashbacks, nightmares, anxiety",More common in females,Any age,"SSRIs, therapy"
Paronychia,"Red, swollen nail folds, pus",Gender Neutral,Any age,"Warm soaks, antibiotics"
Polymyalgia Rheumatica,Muscle pain/stiffness (shoulders/hips),More common in females,70+ years,Corticosteroids
Plantar Fasciitis,Heel pain (worse in morning),More common in females,40-60 years,"Stretching, orthotics"
Prostatitis,"Pelvic pain, urinary symptoms",Male,30-50 years,Antibiotics (if bacterial)
Pityriasis Rosea,"Oval rash (""Christmas tree"" pattern)",Gender Neutral,10-35 years,"Antihistamines, topical steroids"
Pulmonary Embolism (PE),"Shortness of breath, chest pain, cough",Gender Neutral,Any age,Blood thinners (heparin)
Pyelonephritis (Kidney Infection),"Fever, flank pain, nausea",More common in females,Any age,IV antibiotics (ciprofloxacin)
Pyloric Stenosis,Projectile vomiting (in infants),More common in males,2-8 weeks old,Surgical correction
Pemphigus Vulgaris,Painful blisters on skin/mouth,Gender Neutral,40-60 years,Corticosteroids
Pericarditis,Sharp chest pain (worsens lying down),Gender Neutral,Any age,"NSAIDs, colchicine"
Pica,Craving/eating non-food items,Gender Neutral,Children/pregnant women,Iron supplements (if deficient)
Plague,"Fever, swollen lymph nodes (buboes)",Gender Neutral,Any age,"Streptomycin, doxycycline"
Porphyria,"Abdominal pain, photosensitivity",More common in females,20-40 years,"Hematin, glucose"
Pseudogout,Sudden joint pain/swelling (knees/wrists),Gender Neutral,60+ years,"Colchicine, NSAIDs"
Phenylketonuria (PKU),Developmental delay (if untreated),Gender Neutral,Congenital,Low-phenylalanine diet
Postpartum Depression,Persistent sadness after childbirth,Female,Childbearing years,"SSRIs, therapy"
Pustulosis Palmaris et Plantaris,Pus-filled blisters on hands/feet,Gender Neutral,Adults,Topical steroids
Prolactinoma,"Galactorrhea, irregular periods",More common in females,20-50 years,Bromocriptine
Paroxysmal Nocturnal Hemoglobinuria,"Blood in urine, anemia",Gender Neutral,30-50 years,Eculizumab
Pityriasis Versicolor,Discolored skin patches,Gender Neutral,Teens to adults,Antifungal creams
Patent Ductus Arteriosus,"Heart murmur, poor feeding (in infants)",More common in females,Newborns,"Indomethacin, surgery"
Pelvic Organ Prolapse,"Vaginal bulge, urinary problems",Female,Postmenopausal,"Pessary, surgery"
Peritonitis,"Severe abdominal pain, fever",Gender Neutral,Any age,"IV antibiotics, surgery"
Pott's Disease (Spinal TB),"Back pain, spinal deformity",Gender Neutral,Any age,Anti-TB drugs
Pulmonary Hypertension,"Shortness of breath, fatigue",More common in females,30-60 years,Vasodilators
Pyoderma Gangrenosum,Painful skin ulcers,Gender Neutral,20-50 years,Corticosteroids
Pica (Geophagia),Craving/eating dirt,Gender Neutral,Children/pregnant women,Iron supplements
Polymyositis,"Muscle weakness, pain",More common in females,30-60 years,Corticosteroids
Pityriasis Lichenoides,Scaly pink skin patches,Gender Neutral,Children/young adults,UVB therapy
Proctitis,"Rectal pain, bleeding",Gender Neutral,Any age,"Antibiotics, mesalamine"
Pseudomembranous Colitis,Diarrhea (C. difficile infection),Gender Neutral,Any age,Vancomycin
Postherpetic Neuralgia,Persistent pain after shingles,Gender Neutral,50+ years,Gabapentin
Pustular Psoriasis,Pus-filled blisters on red skin,Gender Neutral,Adults,Acitretin
Pica (Amylophagia),Craving/eating starch,Gender Neutral,Children/pregnant women,Iron supplements
Pyogenic Granuloma,Fast-growing red skin nodule,Gender Neutral,Any age,Surgical removal
Q Fever,"High fever, headache, pneumonia",Gender Neutral,Any age,Doxycycline
Quadriplegia,Paralysis of all four limbs,Gender Neutral,Any age,"Physical therapy, supportive care"
Quincke's Edema (Angioedema),Swelling under skin (face/lips/throat),Gender Neutral,Any age,"Antihistamines, epinephrine"
QT Prolongation,"Irregular heartbeat, fainting",Gender Neutral,Any age,Beta-blockers
Quick's Disease (Hemophilia B),"Excessive bleeding, easy bruising",Male (X-linked),Congenital,Factor IX replacement
Quinsy (Peritonsillar Abscess),"Severe sore throat, difficulty swallowing",Gender Neutral,Teens to adults,"Antibiotics, drainage"
Quadriceps Tendonitis,Knee pain above patella,Gender Neutral,Adults,"Rest, NSAIDs"
Quotidian Fever,Daily fever spikes (malaria variant),Gender Neutral,Any age,Antimalarials
Quinidine Toxicity,"Tinnitus, vision disturbances, arrhythmias",Gender Neutral,Adults,Discontinue quinidine
Qazi-Markouizos Syndrome,"Intellectual disability, facial dysmorphism",Gender Neutral,Congenital,Supportive care
Rabies,"Fever, agitation, hydrophobia, paralysis",Gender Neutral,Any age,Post-exposure prophylaxis (vaccine + immunoglobulin)
Rheumatoid Arthritis (RA),"Joint pain/swelling, morning stiffness",More common in females (3:1 ratio),30-60 years,"DMARDs (methotrexate), biologics"
Rosacea,"Facial redness, visible blood vessels, acne-like bumps",More common in females,30-50 years,"Topical metronidazole, oral antibiotics"
Rubella (German Measles),"Mild fever, rash, swollen lymph nodes",Gender Neutral,Children (vaccine preventable),Supportive care
Rotavirus Infection,"Severe diarrhea, vomiting, fever (in infants)",Gender Neutral,6m-2 years,"Oral rehydration, vaccine prevention"
Raynaud's Phenomenon,Fingers/toes turn white/blue in cold,More common in females,15-40 years,Calcium channel blockers
Ringworm (Tinea Corporis),"Circular red, scaly rash",Gender Neutral,Any age,Antifungal creams (clotrimazole)
Reactive Arthritis,"Joint pain, eye inflammation, urethritis",More common in males,20-40 years,"NSAIDs, antibiotics"
Rubeola (Measles),"High fever, cough, rash, red eyes",Gender Neutral,Children (vaccine preventable),"Vitamin A, supportive care"
Restless Legs Syndrome (RLS),"Urge to move legs, worse at night",More common in females,30+ years,Dopamine agonists
Retinoblastoma,"White pupil, vision loss (in children)",Gender Neutral,<5 years,"Chemotherapy, enucleation"
Rocky Mountain Spotted Fever,"Fever, headache, spotted rash",Gender Neutral,Any age,Doxycycline
Renal Cell Carcinoma,"Blood in urine, flank pain, weight loss",More common in males,50-70 years,"Surgery, immunotherapy"
Reye's Syndrome,"Vomiting, confusion, liver failure (post-viral in kids)",Gender Neutral,4-12 years,"ICU care, avoid aspirin"
Rhinovirus (Common Cold),"Runny nose, sore throat, cough",Gender Neutral,Any age,Symptomatic relief
Rickets,"Bone deformities, delayed growth",Gender Neutral,Children,Vitamin D/calcium
Rubella Syndrome (Congenital),"Deafness, heart defects, cataracts",Gender Neutral,Newborns,Supportive care
Renal Failure (Acute),"Reduced urine output, swelling, confusion",Gender Neutral,Any age,"Dialysis, treat cause"
Rheumatic Fever,"Joint pain, rash, heart valve damage",Gender Neutral,5-15 years,"Penicillin, aspirin"
Retinal Detachment,"Floaters, flashes, vision loss",Gender Neutral,50+ years,Surgery
Rosai-Dorfman Disease,Painless lymph node enlargement,Gender Neutral,Children/young adults,Corticosteroids
Rumination Syndrome,Regurgitating undigested food,Gender Neutral,Any age,Behavioral therapy
Rat-Bite Fever,"Fever, rash, joint pain",Gender Neutral,Any age,Penicillin
Recurrent Respiratory Papillomatosis,"Hoarseness, airway obstruction",Gender Neutral,Children/adults,Surgical removal
Relapsing Polychondritis,Ear/nose cartilage inflammation,Gender Neutral,40-60 years,Corticosteroids
Rhabdomyolysis,"Muscle pain, dark urine, kidney failure",More common in males,Any age,IV fluids
Ramsay Hunt Syndrome,"Facial paralysis, ear rash (shingles variant)",Gender Neutral,Adults,"Antivirals, steroids"
Rectal Prolapse,Tissue protruding from anus,More common in females,Elderly,Surgery
Respiratory Syncytial Virus (RSV),"Wheezing, cough, fever (severe in infants)",Gender Neutral,Infants/elderly,Supportive care
Rothia Infection,"Endocarditis, abscesses (in immunocompromised)",Gender Neutral,Any age,Vancomycin
Rumination Disorder,Same as #807,Gender Neutral,Any age,Same as #807
Reiter's Syndrome,Same as reactive arthritis (#793),More common in males,20-40 years,Same as #793
Renal Tubular Acidosis,"Weakness, kidney stones",Gender Neutral,Any age,Alkali therapy
Retinitis Pigmentosa,"Night blindness, tunnel vision",Gender Neutral,Teens to adults,Vitamin A palmitate
Runner's Knee (Patellofemoral Pain Syndrome),Knee pain behind patella,More common in females,Teens to adults,Physical therapy
Rat Lungworm Disease,"Headache, meningitis",Gender Neutral,Any age,Supportive care
Retroperitoneal Fibrosis,"Back pain, kidney failure",More common in males,40-60 years,Corticosteroids
Rhabdoid Tumor,Abdominal mass (in infants),Gender Neutral,<3 years,"Surgery, chemotherapy"
Radial Tunnel Syndrome,"Forearm pain, weakness",Gender Neutral,Adults,"NSAIDs, splinting"
Rumex Poisoning,"Nausea, kidney damage (plant toxicity)",Gender Neutral,Any age,Supportive care
Renal Osteodystrophy,"Bone pain, fractures (kidney disease complication)",Gender Neutral,Any age,Phosphate binders
Recurrent Corneal Erosion,"Eye pain, tearing upon waking",Gender Neutral,Adults,Lubricating drops
Red Eye Syndrome,Conjunctival injection,Gender Neutral,Any age,Treat underlying cause
Refsum Disease,"Night blindness, neuropathy",Gender Neutral,Childhood onset,Low-phytanic acid diet
Rett Syndrome,"Developmental regression, hand-wringing",Female (X-linked),6-18 months onset,Supportive care
Rhinitis Medicamentosa,Nasal congestion (rebound from decongestants),Gender Neutral,Any age,Discontinue overuse
Richter's Transformation,Lymphoma progression to aggressive form,Gender Neutral,Adults,Chemotherapy
Runner's Diarrhea,Loose stools during/after running,Gender Neutral,Adults,Dietary adjustments
Russell-Silver Syndrome,"Short stature, triangular face",Gender Neutral,Congenital,Growth hormone
Ryukyu Fever,"Fever, rash (Okinawa region)",Gender Neutral,Any age,Doxycycline
Stroke (Cerebrovascular Accident),"Sudden weakness, speech difficulty, facial droop",Gender Neutral,55+ years,"tPA (if early), aspirin, rehabilitation"
Sinusitis,"Facial pain, nasal congestion, headache",Gender Neutral,Any age,"Decongestants, antibiotics (if bacterial)"
Shingles (Herpes Zoster),"Painful rash with blisters, usually on one side",Gender Neutral,50+ years,"Antivirals (valacyclovir), pain meds"
Sickle Cell Anemia,"Pain crises, fatigue, infections",Gender Neutral,Congenital (lifelong),"Hydroxyurea, pain management"
Seasonal Allergies (Allergic Rhinitis),"Sneezing, runny nose, itchy eyes",Gender Neutral,Any age,"Antihistamines (loratadine), nasal steroids"
Stomach Flu (Gastroenteritis),"Diarrhea, vomiting, stomach cramps",Gender Neutral,Any age,"Hydration, anti-nausea meds"
Syphilis,"Chancre sores, rash (stages vary)",More common in males,15-40 years,Penicillin
Sleep Apnea,"Loud snoring, daytime sleepiness",More common in males,40+ years,"CPAP, oral appliances"
Schizophrenia,"Hallucinations, delusions, disorganized thinking",Gender Neutral,Late teens to 30s,Antipsychotics (risperidone)
Sciatica,"Pain radiating down leg, numbness",Gender Neutral,30-50 years,"NSAIDs, physical therapy"
Scabies,"Intense itching, burrow tracks on skin",Gender Neutral,Any age,Permethrin cream
Sepsis,"Fever, rapid breathing, confusion",Gender Neutral,Any age,"IV antibiotics, fluids"
Scoliosis,Abnormal spinal curvature,More common in females,10-15 years,"Bracing, surgery"
Staph Infection (MRSA),"Skin abscesses, boils, cellulitis",Gender Neutral,Any age,"Vancomycin, drainage"
Strep Throat,"Sore throat, fever, swollen tonsils",Gender Neutral,5-15 years,"Penicillin, amoxicillin"
Sunburn,"Red, painful skin, blisters",Gender Neutral,Any age,"Aloe vera, pain relievers"
Swine Flu (H1N1),"Fever, cough, body aches",Gender Neutral,Any age,"Oseltamivir, rest"
Sjögren's Syndrome,"Dry eyes, dry mouth, fatigue",More common in females,40-60 years,"Artificial tears, pilocarpine"
Sarcoidosis,"Shortness of breath, skin lesions",More common in females,20-40 years,Corticosteroids
Seborrheic Dermatitis,"Flaky scalp (dandruff), red skin",More common in males,30-60 years,Antifungal shampoos
Salmonella Infection,"Diarrhea, fever, abdominal cramps",Gender Neutral,Any age,"Hydration, antibiotics (if severe)"
Sprained Ankle,"Pain, swelling, bruising",Gender Neutral,Any age,"RICE (rest, ice, compression, elevation)"
Scleroderma,"Skin thickening, Raynaud's phenomenon",More common in females,30-50 years,Immunosuppressants
Stye (Hordeolum),"Red, painful eyelid bump",Gender Neutral,Any age,Warm compresses
Stevens-Johnson Syndrome,"Skin peeling, blisters (severe drug reaction)",Gender Neutral,Any age,"ICU care, discontinue causative drug"
Seasonal Affective Disorder (SAD),Depression during winter months,More common in females,20-50 years,"Light therapy, antidepressants"
Subconjunctival Hemorrhage,Bright red patch in white of eye,Gender Neutral,Any age,Artificial tears
Synovitis,"Joint swelling, pain",Gender Neutral,Any age,"NSAIDs, corticosteroid injections"
Scarlet Fever,"Red rash, strawberry tongue",Gender Neutral,5-15 years,Antibiotics (penicillin)
Stomach Ulcer,"Burning stomach pain, bloating",More common in males,30-60 years,"PPIs, antibiotics"
Spondylitis,"Back pain, stiffness",More common in males,20-40 years,"NSAIDs, biologics"
Sun Poisoning,Severe sunburn with systemic symptoms,Gender Neutral,Any age,"Cool compresses, hydration"
Seizure Disorder (Epilepsy),"Convulsions, loss of consciousness",Gender Neutral,Any age,Anticonvulsants
Salivary Gland Infection,"Swollen cheek, pain, fever",Gender Neutral,Any age,"Antibiotics, hydration"
Shin Splints,Lower leg pain during exercise,Gender Neutral,Teens to adults,"Rest, ice"
Strabismus,"Crossed eyes, double vision",Gender Neutral,Childhood,"Eye patches, surgery"
Smallpox (Variola),"High fever, rash with pustules",Gender Neutral,Any age,Vaccine (prevention)
Scurvy,"Bleeding gums, bruising",Gender Neutral,Any age,Vitamin C
Spider Bite,"Pain, swelling, necrosis (brown recluse)",Gender Neutral,Any age,Antivenom (if severe)
Stress Fracture,Localized bone pain with activity,More common in females,Teens to adults,"Rest, immobilization"
Swimmer's Ear (Otitis Externa),"Ear pain, itching, discharge",Gender Neutral,Any age,Antibiotic ear drops
Slipped Disc (Herniated Disc),"Back pain, radiating leg pain",Gender Neutral,30-50 years,"Physical therapy, surgery"
Stomach Cancer,"Indigestion, weight loss, vomiting",More common in males,50+ years,"Surgery, chemotherapy"
Stuttering,Speech disfluency,More common in males,Childhood,Speech therapy
Sun Allergy (Polymorphic Light Eruption),Itchy rash after sun exposure,More common in females,20-40 years,"Sunscreen, antihistamines"
Synovial Sarcoma,Painful soft tissue mass,Gender Neutral,15-40 years,"Surgery, radiation"
Septic Arthritis,"Hot, swollen, painful joint",Gender Neutral,Any age,IV antibiotics
Sialadenitis,"Swollen salivary gland, pain",Gender Neutral,Any age,"Antibiotics, hydration"
Subdural Hematoma,"Headache, confusion (after head injury)",More common in males,Elderly,Surgery
Sweet's Syndrome,"Painful skin lesions, fever",More common in females,30-50 years,Corticosteroids
Tuberculosis (TB),"Chronic cough, fever, night sweats",Gender Neutral,Any age,"Rifampin, isoniazid (6-9 month regimen)"
Type 2 Diabetes,"Increased thirst, frequent urination, fatigue",Gender Neutral,40+ years,"Metformin, insulin"
Tetanus,"Muscle spasms, lockjaw, difficulty swallowing",Gender Neutral,Any age,"Tetanus immune globulin, vaccine"
Thyroiditis (Hashimoto's),"Fatigue, weight gain, cold intolerance",More common in females,30-50 years,Levothyroxine
Tonsillitis,"Sore throat, swollen tonsils, fever",Gender Neutral,5-15 years,Penicillin (if bacterial)
Tinnitus,Ringing/buzzing in ears,More common in males,50+ years,"Sound therapy, tinnitus retraining"
Trigeminal Neuralgia,Severe facial pain (electric shock-like),More common in females,50+ years,Carbamazepine
Tinea (Ringworm),"Circular red, scaly rash",Gender Neutral,Any age,Antifungal creams (clotrimazole)
Typhoid Fever,"High fever, headache, rose spots",Gender Neutral,Any age,Ciprofloxacin
Tachycardia,Rapid heartbeat (>100 bpm),Gender Neutral,Any age,Beta-blockers
Tennis Elbow (Lateral Epicondylitis),"Outer elbow pain, weak grip",Gender Neutral,30-50 years,"NSAIDs, physical therapy"
Thalassemia,"Fatigue, pale skin, growth delays",Gender Neutral,Congenital,Blood transfusions
Tourette Syndrome,Motor/vocal tics,More common in males,Childhood onset,Antipsychotics
Toxic Shock Syndrome,"High fever, rash, low blood pressure",More common in females,15-35 years,IV antibiotics
Transient Ischemic Attack (TIA),Temporary stroke-like symptoms,Gender Neutral,50+ years,"Aspirin, statins"
Tension Headache,Mild-moderate band-like head pain,More common in females,20-50 years,NSAIDs
Tardive Dyskinesia,Involuntary facial movements,Gender Neutral,Adults,Valbenazine
Temporal Arteritis,"Headache, jaw pain, vision loss",More common in females,50+ years,Corticosteroids
Tinea Pedis (Athlete's Foot),"Itchy, scaly feet",More common in males,Teens to adults,Terbinafine
Trichomoniasis,"Vaginal discharge, itching",Female,15-50 years,Metronidazole
Typhus,"Fever, rash, muscle pain",Gender Neutral,Any age,Doxycycline
Torticollis,"Twisted neck, limited mobility",Gender Neutral,Any age,Muscle relaxants
Tinea Versicolor,Discolored skin patches,Gender Neutral,Teens to adults,Selenium sulfide shampoo
Trachoma,"Eye irritation, blindness (chronic)",Gender Neutral,Children in endemic areas,Azithromycin
Tarsal Tunnel Syndrome,"Foot pain, tingling",More common in females,Adults,Orthotics
Testicular Cancer,"Testicular lump, heaviness",Male,15-35 years,"Surgery, chemotherapy"
Tinea Capitis,"Scalp scaling, hair loss",Gender Neutral,Children,Oral antifungals
Thrombocytopenia,"Easy bruising, bleeding",Gender Neutral,Any age,Corticosteroids
Tinea Cruris (Jock Itch),"Red, itchy groin rash",More common in males,Teens to adults,Antifungal creams
Tension Myositis Syndrome,Chronic muscle pain,Gender Neutral,Adults,Mind-body therapy
Tarlov Cyst,"Lower back pain, sciatica",More common in females,30-60 years,Surgery
Tularemia,"Fever, skin ulcer, swollen lymph nodes",Gender Neutral,Any age,Streptomycin
Triglycerides High,None (detected via blood test),Gender Neutral,Adults,Fibrates
Trench Foot,"Painful, swollen feet (cold/wet exposure)",Gender Neutral,Any age,"Warm, dry environment"
Toxic Epidermal Necrolysis,"Skin peeling, blisters (severe drug reaction)",Gender Neutral,Any age,ICU care
Tinea Unguium (Nail Fungus),"Thickened, discolored nails",More common in males,Adults,Oral terbinafine
Tietze Syndrome,"Chest pain, swollen costal cartilage",Gender Neutral,20-40 years,NSAIDs
Trichotillomania,"Hair pulling, bald patches",More common in females,Teens to adults,Cognitive behavioral therapy
Tinea Manuum,"Hand scaling, itching",Gender Neutral,Adults,Antifungal creams
Tinea Barbae,Beard area fungal infection,Male,Adults,Oral antifungals
Torsades de Pointes,"Fainting, irregular heartbeat",Gender Neutral,Any age,Magnesium
Tropical Sprue,"Diarrhea, weight loss (tropical regions)",Gender Neutral,Adults,Tetracycline
Tinea Incognito,Atypical fungal rash (misdiagnosed),Gender Neutral,Any age,Discontinue steroids
Toxic Hepatitis,"Jaundice, nausea (drug/toxin-induced)",Gender Neutral,Any age,Discontinue toxin
Tarsal Coalition,"Foot pain, stiffness",Gender Neutral,Teens,Orthotics
Tinea Nigra,Dark palm/sole patches,Gender Neutral,Any age,Antifungals
Trichinosis,"Muscle pain, fever (undercooked pork)",Gender Neutral,Any age,Albendazole
Turf Toe,Big toe joint pain,Gender Neutral,Athletes,"Rest, taping"
Tinea Gladiatorum,Skin rash (wrestlers/contact sports),More common in males,Teens to adults,Antifungals
Tension Pneumothorax,"Severe chest pain, difficulty breathing",More common in males,Any age,Needle decompression
Urinary Tract Infection (UTI),"Painful urination, frequent urges, cloudy urine",More common in females,20-50 years,"Antibiotics (nitrofurantoin, ciprofloxacin)"
Ulcerative Colitis,"Bloody diarrhea, abdominal pain",Gender Neutral,15-35 years,"Mesalamine, biologics"
Uveitis,"Eye pain, redness, blurred vision",Gender Neutral,20-50 years,Steroid eye drops
Uterine Fibroids,"Heavy periods, pelvic pressure",Female,30-50 years,"Hormonal therapy, surgery"
Urticaria (Hives),Itchy red welts,More common in females,Any age,Antihistamines
Umbilical Hernia,Belly button bulge,Gender Neutral,Infants/adults,Surgical repair
Urethritis,"Discharge, burning urination",More common in males,15-30 years,Antibiotics
Undescended Testicle (Cryptorchidism),Missing testicle in scrotum,Male,Newborns,Hormones/surgery
Uremia,"Fatigue, nausea (kidney failure)",Gender Neutral,Any age,Dialysis
Urinary Incontinence,Uncontrolled urine leakage,More common in females,50+ years,Pelvic floor exercises
Ulnar Neuropathy,Hand tingling/numbness,Gender Neutral,Adults,Splinting
Uterine Prolapse,"Vaginal bulge, pressure",Female,Postmenopausal,"Pessary, surgery"
Urinary Retention,Inability to urinate,More common in males,50+ years,Catheterization
Uric Acid Stones,"Flank pain, blood in urine",More common in males,30-60 years,Allopurinol
Urethral Stricture,Weak urine stream,Male,Adults,Dilation surgery
Ulcer (Peptic),Burning stomach pain,More common in males,30-60 years,PPIs
Usher Syndrome,Hearing/vision loss,Gender Neutral,Congenital,Supportive care
Uterine Cancer,"Abnormal bleeding, pelvic pain",Female,50+ years,"Surgery, radiation"
Ulnar Collateral Ligament Injury,Elbow pain (baseball pitchers),Male,Teens to adults,Surgery
Urinary Fistula,Leakage of urine into vagina,Female,Adults,Surgery
Urachal Abnormality,Belly button drainage,Gender Neutral,Infants,Surgery
Urge Incontinence,Sudden strong urge to urinate,More common in females,50+ years,Anticholinergics
Uveal Melanoma,"Vision changes, eye floaters",Gender Neutral,50+ years,Radiation
Uterine Adenomyosis,"Painful periods, heavy bleeding",Female,30-50 years,Hormonal therapy
Ulnar Wrist Pain,Outer wrist pain,Gender Neutral,Adults,"Rest, splinting"
Urethral Caruncle,Small red vaginal lesion,Female,Postmenopausal,Estrogen cream
Urinary Schistosomiasis,Blood in urine,Gender Neutral,Children in endemic areas,Praziquantel
Ulnar Drift,Finger deviation (rheumatoid arthritis),More common in females,30-50 years,DMARDs
Uterine Polyps,Irregular bleeding,Female,30-50 years,Surgical removal
Urachal Cyst,"Abdominal pain, infection",Gender Neutral,Any age,Antibiotics
Urinary Frequency,Needing to urinate often,Gender Neutral,Any age,Treat underlying cause
Ulnar Impaction Syndrome,Wrist pain,Gender Neutral,Adults,Surgery
Uterine Atony,Postpartum hemorrhage,Female,Childbearing,Oxytocin
Urethral Diverticulum,"Painful urination, dribbling",Female,30-50 years,Surgery
Urinary Casts,None (found in urine tests),Gender Neutral,Any age,Treat underlying kidney disease
Ulnar Nerve Entrapment,"""Funny bone"" tingling",Gender Neutral,Adults,Surgery
Uterine Sarcoma,"Abnormal bleeding, pelvic mass",Female,50+ years,"Surgery, chemo"
Urachal Cancer,"Blood in urine, abdominal mass",Gender Neutral,Adults,Surgery
Urinary Urgency,Sudden need to urinate,Gender Neutral,Any age,Behavioral therapy
Ulnar Tunnel Syndrome,Hand weakness/numbness,Gender Neutral,Adults,Splinting
Uterine Didelphys,Double uterus (often asymptomatic),Female,Congenital,Surgery (if needed)
Urethral Syndrome,Urinary discomfort without infection,Female,20-50 years,Bladder training
Urinary Mucin,None (found in urine tests),Gender Neutral,Any age,Treat underlying cause
Ulnar Dimelia,Extra ulna bone,Gender Neutral,Congenital,Surgery
Uterine Hypoplasia,"Absent periods, infertility",Female,Teens to adults,Hormone therapy
Urethral Warts,Small bumps near urethra,Gender Neutral,15-40 years,Cryotherapy
Urinary Protein,Foamy urine,Gender Neutral,Any age,Treat underlying cause
Ulnar Styloid Impaction,Wrist pain,Gender Neutral,Adults,Surgery
Uterine Syncope,Fainting during periods,Female,Teens to 30s,Hormonal therapy
Urethral Meatal Stenosis,Painful urination,Male,Any age,Dilation
Vaginitis,"Vaginal itching, discharge (often foul-smelling), redness, burning during urination",Female,Teens to elderly (15-80+),"Antifungals (e.g., fluconazole), antibiotics (e.g., metronidazole), or estrogen creams"
Varicella (Chickenpox),"Itchy rash, fever, fatigue, blisters",Gender Neutral,"Mostly children (1-12), but can affect unvaccinated adults","Acyclovir, calamine lotion, antihistamines"
Varicocele,"Swollen veins in scrotum, dull pain, infertility",Male,Teens to adults (15-50),"Pain relievers (ibuprofen), surgery if severe"
Varicose Veins,"Swollen, twisted veins, leg pain, heaviness",Female (more common),Adults (30-70),"Compression stockings, sclerotherapy, surgery"
Vasculitis,"Fever, fatigue, weight loss, organ damage (depending on type)",Gender Neutral,Any age (varies by type),"Corticosteroids (prednisone), immunosuppressants"
Vasovagal Syncope,"Fainting, dizziness, nausea, pale skin",Gender Neutral,Teens to elderly (15-80+),"Increased salt/water intake, beta-blockers (if severe)"
Ventricular Fibrillation,"Sudden collapse, no pulse, cardiac arrest",Male (higher risk),Adults (40+),"Emergency defibrillation, antiarrhythmics (amiodarone)"
Ventricular Tachycardia,"Rapid heartbeat, dizziness, chest pain",Male (higher risk),Adults (30+),"Beta-blockers, ablation, ICD (implantable cardioverter-defibrillator)"
Vertigo (Benign Paroxysmal Positional Vertigo - BPPV),"Spinning sensation, nausea, imbalance",Gender Neutral,Adults (40+),"Meclizine, Epley maneuver"
Vestibular Neuritis,"Severe dizziness, nausea, imbalance (no hearing loss)",Gender Neutral,Adults (20-60),"Corticosteroids, antihistamines"
